0,Imperial Capital of Regnum
1,Camp Peak
2,The Holy City: Naohs
3,Eastern Country of Ashihara
4,Garam Harbor
5,Western Country of Garam
6,Southern Country of Galpos
7,Grigori's Hometown
8,Commercial City: Marmut
9,Stopover Point: Toto
10,Northern Country: Tenos
11,Sania Village
12,The Muse Clan's Hometown
13,Wandering Arena: Achillea
14,Train Interior
15,Clandestine Meeting
16,Cerberus' Den
17,Cielo's Battlefield
18,Himmel's Cell
19,Senate
20,Regnum Pass
21,Airship Interior
22,Vulcan's Forge
23,Hermana's House
24,Ashihara Prairie
25,Sania Desert
26,Ship's Deck
27,Warehouse
28,Evening Party
29,Liner Deck
