"#","Japanese","English"
"0","((7000,), 'ルカ戦闘不能')","Unconcious Ruca"
"1","((7001,), 'イリア戦闘不能')","Unconcious Illia"
"2","((7002,), 'スパーダ戦闘不能')","Unconcious Spada"
"3","((7003,), 'アンジュ戦闘不能')","Unconscious Ange"
"4","((7004,), 'リカルド戦闘不能')","Unconcious Ricardo"
"5","((7005,), 'エルマーナ戦闘不能')","Unconcious Hermana"
"6","((7006,), 'コンウェイ戦闘不能')","Unconcious Kongwei"
"7","((7007,), 'キュキュ戦闘不能')","Unconcious QQ"
"8","((7008,), '遭遇１００回達成！')","100 Encounters Achieved!"
"9","((7009,), '遭遇２５０回達成！')","250 Encounters Achieved!"
"10","((7010,), '祝５００回達成！')","Yay! 500 Encounters Achieved!"
"11","((7011,), '遭遇７５０回達成！')","750 Encounters Achieved!"
"12","((7012,), '祝！\u3000遭遇１０００回達成！')","Hooray! 1000 Encounters Achieved!"
"13","((7013,), 'コンボ初心者')","Combo Rookie"
"14","((7014,), 'コンボ茶帯')","Combo Amateur"
"15","((7015,), 'コンボ初段')","Combo Senior"
"16","((7016,), 'コンボ師範代')","Combo Expert"
"17","((7017,), 'コンボの達人')","Combo Master"
"18","((7018,), '全員最強を目指せ')","All Hands Aim to be the Strongest"
"19","((7019,), '最強への道のり')","Journey Towards Being the Strongest"
"20","((7020,), '最強の頂点、未だ見えず')","Unseen Strongest Summit"
"21","((7021,), '最強の中間地点')","Halfway Towards Being the Strongest"
"22","((7022,), '最強集団')","The Strongest Party"
"23","((7023,), '僕このままで…')","As It Is..."
"24","((7024,), '楽だけど')","It’s Peaceful, But..."
"25","((7025,), 'なまってやがる')","Getting Rusty"
"26","((7026,), '運動不足')","Insufficient Exercise"
"27","((7027,), 'カンが鈍る')","Becoming Dull"
"28","((7028,), '退屈な日々')","Boring Days"
"29","((7029,), '平穏')","Tranquility"
"30","((7030,), 'えらい、立派、かわいい')","Tough, Praiseworthy, Cute"
"31","((7031,), '動きにくい')","Hard to Move in..."
"32","((7034,), '恐怖のうさみみ')","The Dreaded Rabbit Ears"
"33","((6000,), '最後の食事')","Last Supper"
"34","((6004,), 'この時間だけでも')","At Least this Time"
"35","((6010,), '暑いのに鍋')","Hotpot in a Hotplace"
"36","((6013,), '寒い寒い')","Cold ’n Cold"
"37","((6009,), 'その水はどこから？')","Where’d You Get That Water?"
"38","((6011,), '暑いときには冷たいもの')","You Gotta Have Cold Stuff When It’s Hot"
"39","((6012,), '寒い熱い')","Cold ’n Hot"
"40","((6017,), '辛いのは苦手！')","Weak against Spicy Food"
"41","((6006,), 'シアンとご飯')","A Meal with Sian"
"42","((6064,), 'コーダの嫌いなものは？')","What Does Coda Hate?"
"43","((6065,), 'コーダはなぜ太らない？')","Why Is Coda Not Fat?"
"44","((6005,), '気配り上手')","Thoughtfulness"
"45","((6029,), 'リカルドのおにぎり')","Ricardo’s Rice Balls"
"46","((6035,), 'リカルドの熱い想い')","Ricardo’s Passion"
"47","((6032,), '勿体ないは魔法の言葉')","Leftovers Is the Magic Word!"
"48","((6066,), '笑顔のオムライス')","Smiling Omelette Rice"
"49","((6054,), '丸ごと一本バナナカレーを食す')","Whole Banana Curry"
"50","((6020,), '絶品サンドウィッチ')","Superb Sandwich"
"51","((6014,), 'うぐっ！？')","!?"
"52","((6018,), 'やきそばパンの思い出')","Memories of Yakisoba Sandwich"
"53","((6007,), 'チーズフォンデュ')","Cheese Fondue"
"54","((6027,), '奪われた肉')","Stolen Meat"
"55","((6063,), 'パックまんを食す')","A Taste of the Pac-Man Bun"
"56","((6030,), '好物はシーフードパスタ')","My Favorite Food is Seafood Pasta"
"57","((6026,), '大人の特権')","An Adult’s Privilege"
"58","((6051,), '幸せ！')","Happiness!"
"59","((6062,), 'サバみそパスタを食す')","A Taste of Miso Mackerel Pasta"
"60","((6019,), 'なんでサラダ？')","Why Salad?"
"61","((6015,), 'ステーキ違い')","This Isn’t Steak!"
"62","((6042,), '４人でやれば')","If It’s the Four of Us"
"63","((6037,), 'キノコ食べ放題？')","All-You-Can-Eat Mushrooms?"
"64","((6049,), '困ったときはお互い様１')","When in Trouble, Help Each Other 1"
"65","((6050,), '困ったときはお互い様２')","When in Trouble, Help Each Other 2"
"66","((6055,), '秘伝野菜汁を飲み干す')","Secret Vegetable Soup"
"67","((6033,), 'プラスマイナスゼロ')","Coming Out Even"
"68","((6040,), 'セルフやきとり')","Self-Service Yakitori"
